Bubble Sorting of 100 records,15579000ns,15ms,0s,0min
Selection Sorting of 100 records,15579000ns,15ms,0s,0min
Insertion Sorting of 100 records,0ns,0ms,0s,0min
Merge Sorting of 100 records,0ns,0ms,0s,0min
Quick Sorting of 100 records,15582000ns,15ms,0s,0min
Heap Sorting of 100 records,0ns,0ms,0s,0min
Counting Sort of 100 records,0ns,0ms,0s,0min
Radix Sort of 100 records,0ns,0ms,0s,0min
Bucket Sort of 100 records,31183000ns,31ms,0s,0min
Bubble Sorting of 1000 records,1109252000ns,1109ms,1s,0min
Selection Sorting of 1000 records,468650000ns,468ms,0s,0min
Insertion Sorting of 1000 records,0ns,0ms,0s,0min
Merge Sorting of 1000 records,31184000ns,31ms,0s,0min
Quick Sorting of 1000 records,734259000ns,734ms,0s,0min
Heap Sorting of 1000 records,46828000ns,46ms,0s,0min
Counting Sorting of 1000 records,15558000ns,15ms,0s,0min
Radix Sort of 1000 records,31187000ns,31ms,0s,0min
Bucket Sort of 1000 records,31202000ns,31ms,0s,0min
Bubble Sorting of 10000 records,-129754400ns,107244ms,107s,1min
Selection Sorting of 10000 records,926014744ns,48170ms,48s,0min
Insertion Sorting of 10000 records,31202000ns,31ms,0s,0min
Merge Sorting of 10000 records,437429000ns,437ms,0s,0min
Quick Sorting of 10000 records,-619104032ns,72395ms,72s,1min
Heap Sorting of 10000 records,546770000ns,546ms,0s,0min
Count Sorting of 10000 records,78060000ns,78ms,0s,0min
Radix Sort of 10000 records,281196000ns,281ms,0s,0min
Bucket Sort of 10000 records,109325000ns,109ms,0s,0min
Merge Sorting of 10000 records,545526000ns,545ms,0s,0min
Quick Sorting of 10000 records,234374000ns,234ms,0s,0min
Heap Sorting of 10000 records,531147000ns,531ms,0s,0min
Count Sorting of 10000 records,62453000ns,62ms,0s,0min
Radix Sort of 10000 records,312441000ns,312ms,0s,0min
Bucket Sort of 10000 records,109328000ns,109ms,0s,0min
Quick Sorting of 100000 records,-204438296ns,4090ms,4s,0min
Heap Sorting of 100000 records,-1548916592ns,7041ms,7s,0min
Count Sorting of 100000 records,718645000ns,718ms,0s,0min
Radix Sort of 100000 records,-1420206296ns,2874ms,2s,0min
Bucket Sort of 100000 records,1031113000ns,1031ms,1s,0min
Merge Sorting of 500000 records,2069315336ns,40724ms,40s,0min
Quick Sorting of 500000 records,1040827928ns,31105ms,31s,0min
Heap Sorting of 500000 records,-120364128ns,291937ms,291s,4min
Count Sorting of 500000 records,1612441408ns,10202ms,10s,0min
Radix Sort of 500000 records,390954816ns,17570ms,17s,0min
Bucket Sort of 500000 records,-2059180592ns,6530ms,6s,0min
